simulation,grad,fls1,fls2,fls3,pointvalue1,pointvalue2,pointvalue3,pointvalue4,pointvalue5,pointvalue6,pointvalue7,pointvalue8,pointvalue9,pointvalue10,pointvalue11,pointvalue12,pointvalue13,pointvalue14,pointvalue15,pointvalue16,pointvalue17,pointvalue18,pointvalue19,pointvalue20,pointvalue21,pointvalue22,pointvalue23,pointvalue24,pointvalue25,pointvalue26,pointvalue27,pointvalue28,pointvalue29,pointvalue30,pointvalue31,pointvalue32,pointvalue33,pointvalue34,pointvalue35,pointvalue36,pointvalue37,pointvalue38,pointvalue39,pointvalue40,pointvalue41,pointvalue42,pointvalue43,pointvalue44
84,0.0452721646,0.0849471162,0.5781749308,0.4667048388,22.0591883194,22.6490793181,23.2471028356,23.8622076604,24.3850487189,24.8811567221,25.4018828239,25.9497381061,26.50163671,27.0612640728,27.8180078088,28.4696123102,37.2364129497,46.438241289,56.5355380177,66.8777926832,77.3816702614,87.83074369,98.170318886,108.1663054731,117.8914394672,126.5999635852,127.4226369832,131.258934145,135.0495431031,138.6754340733,142.2454443153,145.7621542632,149.3281138538,152.7355250766,156.1066527313,159.4479987793,162.2864656135,163.9526415199,169.4541721555,174.7882463768,179.9804376844,185.2555579387,190.1875156454,194.9908412295,199.6637634022,204.2039843789,208.6064769737,212.8585137984
85,0.0180949252,0.0856941492,0.6451869891,0.2734384072,22.059161684,22.6466237169,23.2378462717,23.8416091458,24.350821603,24.8309694762,25.331611361,25.8551277794,26.3791335931,26.9071620249,27.6180663834,28.2249923631,36.3677388736,44.8828498591,54.1768505192,63.6248798853,73.126249499,82.4750986921,91.628609325,100.393924896,108.8472313579,116.3582338438,116.9903443205,119.9118672344,122.7972125436,125.5544894874,128.2668768853,130.936548555,133.6415432506,136.2237345825,138.7762511754,141.3037127762,143.4504017589,145.3545338775,151.7139305574,157.8085492197,163.6766341018,169.5757088201,175.0332276489,180.2736284438,185.2268892385,189.7820457689,193.8808569124,197.5620943495
86,0.0158212311,0.0949528096,0.22149973,0.8287287598,22.0591594556,22.6464182771,23.2370718518,23.839885839,24.3479581042,24.8267707258,25.3257323309,25.8472125184,26.3688847739,26.8942695853,27.6013387704,28.1439915341,35.3800361077,42.8935140511,51.0944166697,59.4717973724,67.950343919,76.3510097708,84.6432192733,92.6556926768,100.4558666822,107.4450296332,109.2243272644,117.8235313526,126.0801294624,133.7533859241,141.0708440449,148.0474786058,154.8436337123,160.9775089086,166.5772965919,171.4872720132,175.188260271,176.2591931485,179.4996163853,182.5124058221,185.3912966131,188.3031861166,191.0325363965,193.7025196411,196.3122161613,198.8580793961,201.3427534869,203.7862403724
87,0.0184275526,0.0906169336,0.3448804595,0.4904312715,22.05916201,22.6466537715,23.2379595645,23.8418612549,24.3512405152,24.8315837274,25.3324714268,25.8562857332,26.3806329321,26.9090481091,27.6205133622,28.1935239599,35.8566905638,43.8415455678,52.5615988016,61.4556176231,70.4376695212,79.3174430526,88.0597895511,96.4815347092,104.6523386078,111.9503959832,113.1241671959,118.7167133377,124.1640358133,129.3014673396,134.2824742322,139.1153893527,143.9376332034,148.4723143758,152.8862935386,157.1728843067,160.7827171759,162.5252860245,168.1192485446,173.3683398988,178.2894240157,183.1115002746,187.4907596475,191.6485266302,195.5552444914,199.1471428363,202.3956254372,205.3362940504
88,0.0025355158,0.1042901793,0.3470994982,0.5292749012,22.0591464348,22.6452178455,23.2325467391,23.8298161628,24.3312260252,24.8022364656,25.2913798113,25.8009618361,26.3089985761,26.8189361084,27.5035969596,27.9810139221,34.3055950262,40.8183762632,47.9022854214,55.1395042397,62.4731678626,69.7446627798,76.9266748886,83.8738940679,90.6501104201,96.735011477,97.6980130499,102.2830519463,106.7732147058,111.027269507,115.1697423629,119.2039943241,123.2432991593,127.0531557962,130.772930042,134.4019441984,137.4721181482,138.9664513574,143.8025266695,148.4157640876,152.8170988517,157.1849928334,161.1721966905,164.9725536675,168.5996961926,172.0551817914,175.3198808383,178.3614667762
89,0.0885429285,0.1134889174,0.6385045235,0.5532998248,22.0592307276,22.6529890507,23.2618408516,23.8950039813,24.439544079,24.9610633099,25.5137668835,26.1003737555,26.696682401,27.3066206091,28.1363475622,28.6655534026,35.6995932858,42.9749507679,50.9814575227,59.3146657792,67.973738872,76.8208340624,85.8539740751,94.8959014481,104.0150204291,112.4386812113,113.1720189931,116.5974927715,120.0237885714,123.3415052721,126.6494242099,129.94639532,133.3301076122,136.5999501892,139.8699335895,143.1501804249,145.9415514612,147.2873789292,151.6907905479,156.0294001182,160.3201884029,164.7527767691,168.9662826677,173.1412607109,177.2774038832,181.3745030648,185.4324359639,189.4508113726
90,0.1003606955,0.11594096,0.4276059607,0.1463104629,22.0592423097,22.6540568458,23.2658659814,23.9039610517,24.4544274185,24.982886762,25.5443237685,26.1415141665,26.7499517296,27.3736304358,28.223290088,28.7533508533,35.797568402,43.0815961305,51.1042106436,59.4687872904,68.1823687847,77.1117535521,86.2592263227,95.4483421879,104.7500106128,113.3691795188,114.4925303302,119.8596579308,125.2183832338,130.3980336044,135.5482822072,140.6656063913,145.8973422585,150.9347970557,155.9520088529,160.9597747703,165.233925523,169.7422965067,185.2170794687,200.4498283901,215.1442241737,229.7224489565,243.4988077333,257.0746737041,269.8992135142,282.0582459428,293.8948570809,305.3419504888
91,0.0827921721,0.0823262417,0.3345871231,0.5692293699,22.0592250915,22.6524694408,23.2598821448,23.8906452958,24.4323015551,24.9504435917,25.4988973062,26.0803540275,26.6707605047,27.2740123179,28.0940406783,28.823254091,38.6786730238,49.0822522676,60.5703557772,72.4339610345,84.6095007164,96.8509035169,109.0744574711,120.9805068753,132.6427553741,143.1509860251,144.9414969409,153.5367331973,161.9233819843,169.8558574278,177.5710061185,185.0798972369,192.5947087854,199.6777840284,206.5733568837,213.2412161733,218.8044737296,221.1170207374,228.4155884533,235.2111443623,241.578784807,247.8606466552,253.617042177,259.1223853519,264.3307649631,269.1611645147,273.579465397,277.6383159537
92,0.1545028611,0.0753249453,0.3521453313,0.2082733874,22.0592953726,22.6589488646,23.2843067953,23.9449971619,24.5226142621,25.0828691825,25.6843177215,26.3299957079,26.9940009479,27.68063066,28.6216142087,29.540254445,42.0689858816,55.4404014224,70.3546455472,85.9527776735,102.1879617422,118.6765344401,135.2276638069,151.4055090235,167.3172472534,181.7221346031,184.0856096554,195.4541227181,206.5726468514,217.1190804297,227.4078243021,237.4511875747,247.5319078243,257.0560199067,266.3373410142,275.3029898551,282.7668054213,288.0465205904,304.0554383418,317.8978377982,329.9746640942,343.7803637953,358.090944276,372.5447116348,388.2067189976,403.9246193157,418.454293089,431.5566988916
93,0.0130607599,0.094182727,0.8234892453,0.1136951543,22.0591567502,22.6461688546,23.2361316357,23.837793588,24.3444815566,24.8216730614,25.3185946543,25.8376026727,26.3564417764,26.8786169926,27.5810301709,28.1246988133,35.3757141834,42.9062545805,51.1214725815,59.5038681326,67.974275024,76.3519019868,84.6055239081,92.565313969,100.2994881082,107.2177458748,107.6782781845,109.7726867673,111.8528924389,113.8508334967,115.8271614147,117.782652519,119.7753518922,121.6870672331,123.5860710362,125.4765584359,127.0895033108,129.3055849052,136.8120346794,144.0567531759,151.1179779358,158.35833221,165.1382866784,171.7310325617,178.136757141,184.3064065365,190.2238674028,195.9224602573
94,0.1793926644,0.0948604701,0.6645838963,0.2963783353,22.0593197662,22.6611977844,23.2927842588,23.9638619542,24.5539605725,25.1288323011,25.7486746217,26.4166429345,27.1061933025,27.8217623475,28.8047230187,29.5571509365,39.7048185705,50.4003522257,62.3388624822,74.9112834673,88.1407975442,101.8431710053,115.9909887281,130.2425491524,144.6424761042,157.9460873278,159.0612444029,164.2579746332,169.4520906635,174.4798411199,179.491224145,184.4855100467,189.6108478583,194.5654804455,199.5221616202,204.496977942,208.731583574,212.5628478812,225.4996638282,238.0969221856,250.4083166586,262.9644998106,274.7510499753,286.2720917188,297.501501282,308.3641808164,318.7155477231,328.385345561
95,0.109826231,0.1192922366,0.8062085458,0.4031974825,22.0592515866,22.6549121049,23.2690899415,23.9111352892,24.4663483489,25.0003664312,25.568798551,26.1744659094,26.7926182264,27.4273024949,28.2929274297,28.8173476135,35.7818631977,42.9766770091,50.9027952743,59.1767933143,67.8131763814,76.6846142235,85.797068839,94.9783453603,104.3021229533,112.9661190001,113.5705922936,116.3542223709,119.1461299841,121.8574583662,124.5700883951,127.2830046494,130.0781624385,132.7887193979,135.5094997822,138.2508687764,140.5798952318,142.131497095,147.302825435,152.4079740926,157.4659380256,162.6997031625,167.6827770193,172.6272353627,177.5321174966,182.3966456878,187.2202221563,192.0020404373
96,0.0806464554,0.0814387599,0.6507615861,0.304169009,22.0592229885,22.6522755644,23.259151314,23.8890189873,24.4295992316,24.9464811727,25.4933491839,26.072884286,26.6610885519,27.2618455439,28.0782548784,28.8126099308,38.7422373276,49.229051617,60.8040571302,72.7459825374,84.9868430536,97.2743718823,109.5210359093,121.4276587493,133.0714185345,143.5489747836,144.4332901798,148.5365396824,152.6054490548,156.5122856442,160.3744408781,164.1938951914,168.082874182,171.8142055312,175.5206211936,179.211168075,182.3480876445,184.94475903,193.6456447205,202.0530907748,210.2104010898,218.4696761049,226.1627476999,233.6107629289,240.753645107,247.4649866,253.6216269275,259.1940200637
97,0.0863467568,0.0961051268,0.1574923176,0.5130153179,22.0592285752,22.6527906155,23.2610928359,23.8933394313,24.4367782123,24.9570077175,25.5080883011,26.0927283684,26.6867830192,27.2941677421,28.1201903483,28.745130192,37.1214200812,45.8790591592,55.5485747304,65.588913774,75.9693624833,86.5124787197,97.1923822258,107.7701153027,118.3038357977,127.9234915443,131.094214256,146.5950254969,161.5420358337,175.4821723167,188.7900255736,201.1966915795,212.4760899571,221.9051306662,230.321015557,238.1534904959,244.5067023213,246.4642192204,252.7054584734,258.7496302835,264.4644358147,270.5751961752,277.9627526656,286.6879903957,295.5386114537,303.9515928773,311.9186099885,319.5073098185
98,0.0603026619,0.0918660982,0.4965494795,0.2558060938,22.0592030503,22.6504373996,23.2522222208,23.8735997637,24.4039781827,24.9089130093,25.4407467797,26.0020627825,26.5693876222,27.1464909193,27.9285858528,28.5488976677,36.8677224213,45.5692606846,55.1439970648,65.0208315671,75.1443708089,85.3244714652,95.5244091451,105.5149201364,115.3575946506,124.2647054997,125.2506156893,129.8947451114,134.4882600275,138.8870074979,143.2216383405,147.4941417757,151.8282071087,155.9709381255,160.0699198184,164.1322905471,167.5860596367,170.3904222434,179.7660007126,188.7931356654,197.4798204744,206.1472799348,214.0330312048,221.3103120987,227.8698896333,233.8957844804,239.6112451457,245.094857232
99,0.1986701593,0.100728351,0.2203200438,0.4656672167,22.0593386594,22.6629396036,23.2993501709,23.9784729953,24.578238721,25.1644313686,25.7985199262,26.4837524032,27.1930878242,27.9310707806,28.9465456497,29.6768872692,39.5059856233,49.8385056583,61.3753637923,73.5520096031,86.4051103404,99.7719936754,113.6538392982,127.7397958723,142.0838200301,155.4222907689,159.0251542252,176.7224228809,194.0791703852,210.5691501842,226.6530926208,242.3187470893,257.9413514488,272.45412578,286.1625357395,298.7126473505,308.5453248755,312.1578370427,322.9320096437,332.6431872721,341.7704372796,350.6333379411,358.3896056735,366.0667933197,374.9558226211,385.2521826557,396.0606350404,406.7660062118
100,0.0356499296,0.1078947114,0.5388451426,0.6692855663,22.059178889,22.6482099005,23.2438255037,23.8549146553,24.3729304405,24.8633876814,25.3770028677,25.9162408557,26.4582638803,27.0067034866,27.747217489,28.2453605695,34.8542939581,41.6735659058,49.130829297,56.8155779053,64.6949174555,72.6187012672,80.5685561053,88.3831637912,96.1257634421,103.1719275533,103.8891782831,107.2559956513,110.6018502319,113.819258926,117.0035630976,120.1547794053,123.3645796203,126.4436685384,129.5006435416,132.5416597209,135.1289189435,136.1553215802,139.4584948174,142.6970647771,145.8843330139,149.1607446103,152.2600447658,155.3166367339,158.330762533,161.3026335263,164.2323959838,167.1199293145
101,0.0135481744,0.0759026328,0.6614627704,0.7580654976,22.0591572279,22.646212895,23.236297649,23.8381630154,24.3450954083,24.8225731525,25.3198549489,25.8392994766,26.358638828,26.8813807602,27.5846168759,28.2667025585,37.4810527707,47.1824853216,57.7272606734,68.3339121042,78.863512512,89.0697818897,98.8997036923,108.1623017894,116.9609459665,124.6756830008,125.3068984474,128.2159486714,131.0786394315,133.805542515,136.4796894835,139.1045206756,141.7570223206,144.2834021036,146.7758025857,149.2388115015,151.3270269399,152.061072868,154.4008770953,156.689972099,158.9385477725,161.2460693566,163.425684122,165.572507716,167.6870668274,169.7697889911,171.8209960434,173.8408266112
102,0.0461720448,0.0940724681,0.7939665845,0.6374493802,22.0591892014,22.6491606268,23.2474093347,23.8628897089,24.3861820313,24.882818499,25.4042096201,25.9528707995,26.5056929765,27.0663666286,27.8246277302,28.411679563,36.2651407443,44.4544634361,53.4431698338,62.6929506296,72.1446701271,81.6159143327,91.0752612824,100.3171473538,109.4049320644,117.6164946311,118.1866561419,120.7944166639,123.390066334,125.8896862449,128.3688463912,130.8281235662,133.3406257293,135.7576553017,138.1650040034,140.5691328276,142.614791111,143.4628157674,146.2052518459,148.9032476281,151.5678413591,154.3175518652,156.9282897579,159.5131077422,162.0723500153,164.6064018212,167.1156940721,169.6005600595
